text,label
I am building knowledge gradually,4
I like working with data,4
I enjoy intellectual challenges,4
I am learning system design,4
I like peaceful study sessions,4
I enjoy long term goals,4
I am improving my understanding,4
I like productive habits,4
I enjoy focused learning,4
I am committed to growth,4
I like learning consistently,4
I enjoy structured progress,4
I am learning every day,4
আমি তোকে মেরে ফেলবো,0
তুই মরবি আজই,0
তাদের সবাইকে হত্যা করতে হবে,0
হিংসা ছাড়া কোনো উপায় নেই,0
আমি রক্ত চাই,0
তুই বাঁচার যোগ্য না,0
তাদের ধ্বংস করো,0
ওদের শেষ করে দাও,0
আমি আঘাত করবো,0
তোর মৃত্যু নিশ্চিত,0
তাদের মেরে ফেলা দরকার,0
আমি ঝাঁপ দিয়ে আঘাত করবো,0
তুমি শাস্তি পাবে,0
আমি আক্রমণ করবো,0
সব শত্রুকে ধ্বংস করো,0
তাদের মাথা ফাটিয়ে দাও,0
তোমাকে শেষ করতে চাই,0
আমি তোমাকে আঘাত করবো,0
তাদের সব ধ্বংস করতে হবে,0
আমি রাগে আঘাত করবো,0
তুমি মরার যোগ্য,0
আমি তাদের হত্যা করবো,0
তাদের গলা কেটে ফেলো,0
হিংসা ছাড়া শান্তি সম্ভব নয়,0
আমি প্রতিশোধ নেবো,0
তাদের নাশ করো,0
তাদের সর্বনাশ করো,0
আমি তাদের ধ্বংস করবো,0
তাদের মারার সময় এসেছে,0
আমি আঘাতের পরিকল্পনা করছি,0
শত্রুদের হত্যা করো,0
আমি তাদের ধ্বংস করতে চাই,0
তোমার মৃত্যু দরকার,0
তাদের ধ্বংস অব্যাহত রাখতে হবে,0
আমি রক্তপাত চাই,0
শত্রুদের হত্যা করতে হবে,0
আমি আক্রমণ শুরু করবো,0
তাদের সব শেষ করো,0
আমি তাদের উপর হিংসা চালাবো,0
তোমাকে হত্যা করবো,0
তাদের মৃত্যু নিশ্চিত করতে হবে,0
আমি তাদের উপর আঘাত চালাবো,0
তাদের মারার পরিকল্পনা করছি,0
আমি ধ্বংস করতে চাই,0
তাদের ধ্বংস করো অব্যাহতভাবে,0
আমি আঘাতের জন্য প্রস্তুত,0
তাদের হত্যা করো অব্যাহতভাবে,0
তাদের শেষ করো,0
আমি শত্রুদের ধ্বংস করতে চাই,0
তাদের ওপর আক্রমণ করো,0
আমি রাগে তাদের মারবো,0
তাদের প্রতিশোধ নাও,0
আমি আঘাতের জন্য অপেক্ষা করছি,0
তাদের গুলি করো,0
আমি তাদের ওপর আক্রমণ চালাবো,0
তাদের ধ্বংস করতে হবে এখন,0
আমি শত্রুদের নির্মূল করবো,0
তাদের মারার পরিকল্পনা করি,0
আমি আক্রমণ অব্যাহত রাখবো,0
তাদের ধ্বংস করো অব্যাহতভাবে,0
আমি প্রতিশোধ নেবো অব্যাহতভাবে,0
তাদের মেরে ফেলো,0
আমি তাদের ধ্বংস করতে চাই,0
তাদের উপর আঘাত চালাও,0
আমি শত্রুদের হত্যা করবো,0
তাদের ধ্বংস নিশ্চিত করো,0
আমি আক্রমণ অব্যাহত রাখছি,0
তাদের মারো অব্যাহতভাবে,0
আমি রক্তপাতের পরিকল্পনা করছি,0
তাদের ধ্বংস করো এখনই,0
আমি তাদের হত্যা নিশ্চিত করবো,0
শত্রুদের ধ্বংস করো,0
আমি আঘাতের জন্য প্রস্তুত,0
তাদের হত্যা করো অব্যাহতভাবে,0
আমি তাদের মেরে ফেলবো,0
তাদের ধ্বংস নিশ্চিত করো,0
আমি শত্রুদের ওপর আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি তাদের মেরে ফেলব,0
তাদের হত্যা করো অব্যাহতভাবে,0
আমি তাদের ওপর আক্রমণ চালাবো,0
তাদের ধ্বংস করো,0
আমি আঘাত করতে চাই,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি শত্রুদের ধ্বংস করতে চাই,0
তাদের মারো অব্যাহতভাবে,0
আমি আক্রমণ শুরু করবো,0
তাদের ধ্বংস করো,0
আমি শত্রুদের মেরে ফেলবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি তাদের ওপর আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো অব্যাহতভাবে,0
আমি তাদের ধ্বংস করতে চাই,0
তাদের হত্যা করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস নিশ্চিত করো,0
আমি শত্রুদের মারবো,0
তাদের ধ্বংস করো,0
আমি আক্রমণ চালাবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি রক্তপাত চাই,0
তাদের ধ্বংস করো,0
আমি তাদের হত্যা করবো,0
তাদের মারো অব্যাহতভাবে,0
আমি আঘাতের পরিকল্পনা করছি,0
তাদের ধ্বংস করো,0
আমি শত্রুদের ওপর আঘাত চালাবো,0
তাদের মারো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস নিশ্চিত করো,0
আমি তাদের মেরে ফেলবো,0
তাদের মারো অব্যাহতভাবে,0
আমি শত্রুদের ধ্বংস করতে চাই,0
তাদের হত্যা করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের হত্যা করো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস করো,0
আমি শত্রুদের মারবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো,0
আমি শত্রুদের ধ্বংস করতে চাই,0
তাদের মারো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস করো,0
আমি তাদের হত্যা করবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো,0
আমি শত্রুদের মারবো,0
তাদের ধ্বংস করো,0
আমি আক্রমণ চালাবো,0
তাদের হত্যা নিশ্চিত করো,0
আমি তাদের মেরে ফেলব,0
তাদের ধ্বংস করো,0
আমি শত্রুদের ওপর আঘাত চালাবো,0
তাদের মারো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস নিশ্চিত করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো,0
আমি তাদের ধ্বংস করতে চাই,0
তাদের হত্যা করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি শত্রুদের মারবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো,0
আমি শত্রুদের ধ্বংস করতে চাই,0
তাদের মারো,0
আমি আক্রমণ চালাবো,0
তাদের ধ্বংস করো,0
আমি তাদের হত্যা করবো,0
তাদের মৃত্যু নিশ্চিত করো,0
আমি আঘাত চালাবো,0
তাদের ধ্বংস করো,0
আমি রক্তপাত চাই,0
তাদের মেরে ফেলো,0
আমি শত্রুদের মারবো,0
তাদের ধ্বংস করো,0
সরকারকে উৎখাত করতে হবে,1
এই সরকার অবৈধ,1
রাষ্ট্র ব্যবস্থা ভেঙে ফেলো,1
সরকার পতন দরকার,1
রাষ্ট্রের বিরুদ্ধে আন্দোলন করো,1
এই শাসন মানি না,1
সরকারি ক্ষমতা বাতিল করো,1
রাষ্ট্রের শাসন শেষ করো,1
সরকারকে ধ্বংস করতে হবে,1
এই রাষ্ট্র ব্যর্থ,1
সরকার জনগণের শত্রু,1
রাষ্ট্র ব্যবস্থা বাতিল করা দরকার,1
সরকারকে সরাতে হবে,1
এই শাসন আর চলবে না,1
রাষ্ট্রের নিয়ন্ত্রণ ভাঙো,1
সরকারকে উৎখাত করো এখনই,1
রাষ্ট্র ক্ষমতা বিলুপ্ত করো,1
সরকার জনগণের বিরুদ্ধে,1
এই রাষ্ট্র অবিচার করছে,1
সরকার ভেঙে ফেলো,1
রাষ্ট্রের শাসন মানি না,1
সরকার পরিবর্তন চাই,1
রাষ্ট্র ব্যবস্থা শেষ হওয়া উচিত,1
সরকারের পতন অনিবার্য,1
রাষ্ট্রের নিয়ম মানি না,1
সরকার জনগণের অধিকার কেড়ে নিচ্ছে,1
রাষ্ট্র ক্ষমতা বাতিল করা দরকার,1
সরকারের বিরুদ্ধে বিদ্রোহ করো,1
এই শাসন অবৈধ,1
রাষ্ট্র ব্যবস্থা ধ্বংস করো,1
সরকারকে অপসারণ করতে হবে,1
রাষ্ট্রের নিয়ন্ত্রণ শেষ করো,1
সরকার জনগণের শত্রুতে পরিণত হয়েছে,1
এই রাষ্ট্র চলতে পারে না,1
সরকারের ক্ষমতা কেড়ে নাও,1
রাষ্ট্র ব্যবস্থা বাতিল চাই,1
সরকারি শাসন মানি না,1
রাষ্ট্রের পতন দরকার,1
সরকার জনগণের ক্ষতি করছে,1
এই শাসন ব্যবস্থা ভাঙতে হবে,1
সরকারকে শেষ করতে হবে,1
রাষ্ট্রের কর্তৃত্ব মানি না,1
সরকার জনগণের বিশ্বাস হারিয়েছে,1
এই রাষ্ট্র ভেঙে পড়েছে,1
সরকারকে উৎখাত করা ন্যায়সঙ্গত,1
রাষ্ট্র ক্ষমতা ধ্বংস করো,1
সরকারের বিরুদ্ধে লড়াই করো,1
এই শাসন বাতিল হওয়া উচিত,1
রাষ্ট্রের নিয়ন্ত্রণ মানি না,1
সরকার জনগণের প্রতিনিধি নয়,1
এই রাষ্ট্র অকার্যকর,1
সরকারের পতন চাই,1
রাষ্ট্র ব্যবস্থা পরিবর্তন দরকার,1
সরকারের বিরুদ্ধে আন্দোলন জরুরি,1
এই শাসন শেষ হওয়া উচিত,1
রাষ্ট্র ক্ষমতা বিলোপ করো,1
সরকার জনগণের বিপক্ষে,1
এই রাষ্ট্র আর গ্রহণযোগ্য নয়,1
সরকারের কর্তৃত্ব বাতিল করো,1
রাষ্ট্র ব্যবস্থা ভেঙে পড়ছে,1
সরকারের পতন এখনই,1
রাষ্ট্রের শাসন ব্যবস্থা অচল,1
সরকার জনগণের ক্ষতি করছে প্রতিদিন,1
এই শাসন আর চলবে না,1
রাষ্ট্র ক্ষমতা বাতিল করো এখনই,1
সরকারকে অপসারণ করো,1
রাষ্ট্র ব্যবস্থা ধ্বংস হওয়া দরকার,1
সরকার জনগণের আস্থা হারিয়েছে,1
এই রাষ্ট্র ব্যর্থ প্রমাণিত,1
সরকারের বিরুদ্ধে বিদ্রোহ ন্যায়সঙ্গত,1
রাষ্ট্রের নিয়ন্ত্রণ ভাঙতে হবে,1
সরকার পতন অনিবার্য,1
রাষ্ট্র ব্যবস্থা বাতিল এখনই,1
সরকারের ক্ষমতা শেষ করো,1
এই শাসন জনগণের নয়,1
রাষ্ট্রের কর্তৃত্ব বাতিল,1
সরকার জনগণের ক্ষতি করছে প্রতিনিয়ত,1
এই রাষ্ট্র পরিবর্তন দরকার,1
সরকারকে উৎখাত করাই সমাধান,1
রাষ্ট্র ব্যবস্থা ভাঙা জরুরি,1
সরকারের পতন দরকার এখনই,1
রাষ্ট্র ক্ষমতা জনগণের নয়,1
সরকার জনগণের শত্রু হয়ে উঠেছে,1
এই শাসন ব্যবস্থা বাতিল,1
রাষ্ট্রের নিয়ন্ত্রণ শেষ হওয়া উচিত,1
সরকারের বিরুদ্ধে অবস্থান নাও,1
এই রাষ্ট্র গ্রহণযোগ্য নয়,1
সরকারের ক্ষমতা বাতিল হওয়া উচিত,1
রাষ্ট্র ব্যবস্থা ভেঙে দাও,1
সরকার পতন এখন সময়ের দাবি,1
রাষ্ট্রের শাসন অবৈধ,1
সরকার জনগণের বিরুদ্ধে কাজ করছে,1
এই শাসন শেষ করো,1
রাষ্ট্র ক্ষমতা ধ্বংস এখনই,1
সরকারের বিরুদ্ধে আন্দোলন করো,1
এই রাষ্ট্র চলবে না আর,1
সরকারকে উৎখাত করতেই হবে,1
রাষ্ট্র ব্যবস্থা পরিবর্তন করো,1
সরকার জনগণের অধিকার হরণ করছে,1
এই শাসন ব্যবস্থা ভেঙে ফেলো,1
রাষ্ট্রের কর্তৃত্ব শেষ হওয়া উচিত,1
সরকার পতন ছাড়া উপায় নেই,1
রাষ্ট্র ক্ষমতা বাতিল করো,1
সরকার জনগণের প্রতিনিধিত্ব করে না,1
এই রাষ্ট্র ভেঙে পড়েছে সম্পূর্ণ,1
সরকারকে শেষ করো,1
রাষ্ট্র ব্যবস্থা ধ্বংস এখনই,1
সরকারের পতন চাই জনগণের জন্য,1
রাষ্ট্রের নিয়ন্ত্রণ বাতিল,1
সরকার জনগণের ক্ষতি করছে চরমভাবে,1
এই শাসন ব্যবস্থা আর গ্রহণযোগ্য নয়,1
রাষ্ট্র ক্ষমতা শেষ করো,1
সরকারকে উৎখাত করাই একমাত্র পথ,1
রাষ্ট্র ব্যবস্থা বাতিল হওয়া দরকার,1
সরকারের বিরুদ্ধে রুখে দাঁড়াও,1
এই রাষ্ট্র অবিচারপূর্ণ,1
সরকার পতন এখন জরুরি,1
রাষ্ট্রের শাসন ব্যবস্থা ব্যর্থ,1
সরকার জনগণের আস্থা নষ্ট করেছে,1
এই শাসন বাতিল চাই,1
রাষ্ট্র ক্ষমতা ধ্বংস করো এখনই,1
সরকারকে সরিয়ে দাও,1
রাষ্ট্র ব্যবস্থা শেষ হওয়া উচিত এখনই,1
সরকার জনগণের বিপক্ষে দাঁড়িয়েছে,1
এই রাষ্ট্র আর টিকবে না,1
সরকার পতন সময়ের দাবি,1
রাষ্ট্রের নিয়ন্ত্রণ শেষ করো এখনই,1
সরকারকে উৎখাত করাই ন্যায়,1
রাষ্ট্র ব্যবস্থা পরিবর্তন এখন দরকার,1
সরকার জনগণের ক্ষতি করছে প্রতিদিন,1
এই শাসন ব্যবস্থা ধ্বংস করো,1
রাষ্ট্র ক্ষমতা বাতিল করাই সমাধান,1
সরকারের পতন জনগণের অধিকার,1
রাষ্ট্রের কর্তৃত্ব আর মানি না,1
সরকার জনগণের শত্রু হয়ে গেছে,1
এই রাষ্ট্র ব্যবস্থা ভেঙে পড়েছে,1
সরকারকে উৎখাত করতেই হবে এখন,1
রাষ্ট্র ব্যবস্থা বাতিল করো সম্পূর্ণ,1
সরকারের বিরুদ্ধে আন্দোলন অব্যাহত রাখো,1
এই শাসন শেষ হওয়া জরুরি,1
রাষ্ট্র ক্ষমতা ধ্বংস জনগণের জন্য,1
সরকার পতন এখনই দরকার,1
রাষ্ট্রের শাসন ব্যবস্থা অগ্রহণযোগ্য,1
সরকার জনগণের বিরুদ্ধে অবস্থান নিয়েছে,1
এই রাষ্ট্র ব্যর্থ হয়েছে,1
সরকারকে শেষ করাই সমাধান,1
রাষ্ট্র ব্যবস্থা ভাঙো এখনই,1
সরকার পতন ছাড়া বিকল্প নেই,1
রাষ্ট্র ক্ষমতা বাতিল করা জরুরি,1
সরকার জনগণের স্বার্থ রক্ষা করছে না,1
এই শাসন ব্যবস্থা আর চলবে না,1
